Owner,Repo,Author,Week,Commits
willmcgugan,rich,tomchristie,1599955200000,1
willmcgugan,rich,tirkarthi,1596326400000,1
willmcgugan,rich,timgates42,1599350400000,1
willmcgugan,rich,samarsault,1593907200000,1
willmcgugan,rich,queragion2726,1587859200000,1
willmcgugan,rich,patriksvensson,1602374400000,1
willmcgugan,rich,oleksis,1607817600000,1
willmcgugan,rich,nneonneo,1606608000000,1
willmcgugan,rich,nmstoker,1590883200000,1
willmcgugan,rich,nhumrich,1588464000000,1
willmcgugan,rich,luizyao,1589068800000,1
willmcgugan,rich,lamby,1592092800000,1
willmcgugan,rich,jwilk,1590883200000,1
willmcgugan,rich,joaqo,1601164800000,1
willmcgugan,rich,iisaka51,1607817600000,1
willmcgugan,rich,hamelsmu,1607817600000,1
willmcgugan,rich,furunkel,1593302400000,1
willmcgugan,rich,ewels,1594512000000,1
willmcgugan,rich,ericthkr,1596326400000,1
willmcgugan,rich,dtrodrigues,1599955200000,1
willmcgugan,rich,dongkwan-kim,1606003200000,1
willmcgugan,rich,deppiedave64,1601769600000,1
willmcgugan,rich,davised,1607817600000,1
willmcgugan,rich,calve,1592092800000,1
willmcgugan,rich,browniebroke,1596931200000,1
willmcgugan,rich,benleb,1596931200000,1
willmcgugan,rich,aklajnert,1599350400000,1
willmcgugan,rich,adamchainz,1579996800000,1
willmcgugan,rich,Zethson,1604188800000,1
willmcgugan,rich,TrevorS,1588464000000,1
willmcgugan,rich,The-Compiler,1604188800000,1
willmcgugan,rich,S0Ulle33,1595721600000,1
willmcgugan,rich,MasterOdin,1593907200000,1
willmcgugan,rich,GTxx,1606608000000,1
willmcgugan,rich,DarkCode01,1588464000000,1
willmcgugan,rich,BIGBALLON,1600560000000,1
willmcgugan,rich,weilun-intel,1601769600000,2
willmcgugan,rich,ubaumann,1602979200000,2
willmcgugan,rich,simonw,1588464000000,2
willmcgugan,rich,mikesmith,1589068800000,2
willmcgugan,rich,jimms,1601769600000,2
willmcgugan,rich,heavelock,1606608000000,2
willmcgugan,rich,abloch,1607212800000,2
willmcgugan,rich,Hultner,1590278400000,2
willmcgugan,rich,ssbarnea,1599955200000,1
willmcgugan,rich,ssbarnea,1601769600000,1
willmcgugan,rich,ssbarnea,1603584000000,1
willmcgugan,rich,JettChenT,1596326400000,1
willmcgugan,rich,JettChenT,1598140800000,2
willmcgugan,rich,sondrelg,1606003200000,3
willmcgugan,rich,sondrelg,1606608000000,1
willmcgugan,rich,phase06,1601769600000,4
willmcgugan,rich,Edward-Knight,1601769600000,4
willmcgugan,rich,nathanpage-credo,1595721600000,5
willmcgugan,rich,Honno,1602374400000,5
willmcgugan,rich,ptmcg,1600560000000,6
willmcgugan,rich,pim-hoeven,1596326400000,1
willmcgugan,rich,pim-hoeven,1596931200000,6
willmcgugan,rich,megaserg,1601769600000,9
willmcgugan,rich,taliraj,1600560000000,11
willmcgugan,rich,evantkchong,1601769600000,13
willmcgugan,rich,amartya-dev,1601769600000,7
willmcgugan,rich,amartya-dev,1602374400000,8
willmcgugan,rich,hedythedev,1594512000000,2
willmcgugan,rich,hedythedev,1595116800000,1
willmcgugan,rich,hedythedev,1596326400000,19
willmcgugan,rich,hedythedev,1596931200000,1
willmcgugan,rich,hedythedev,1597536000000,7
willmcgugan,rich,hedythedev,1599955200000,4
willmcgugan,rich,nathanrpage97,1596326400000,2
willmcgugan,rich,nathanrpage97,1601769600000,1
willmcgugan,rich,nathanrpage97,1602374400000,1
willmcgugan,rich,nathanrpage97,1602979200000,8
willmcgugan,rich,nathanrpage97,1603584000000,24
willmcgugan,rich,nathanrpage97,1604188800000,11
willmcgugan,rich,nathanrpage97,1604793600000,2
willmcgugan,rich,nathanrpage97,1606608000000,4
willmcgugan,rich,nathanrpage97,1607817600000,1
willmcgugan,rich,willmcgugan,1577577600000,8
willmcgugan,rich,willmcgugan,1578182400000,2
willmcgugan,rich,willmcgugan,1578787200000,10
willmcgugan,rich,willmcgugan,1579392000000,3
willmcgugan,rich,willmcgugan,1579996800000,4
willmcgugan,rich,willmcgugan,1580601600000,4
willmcgugan,rich,willmcgugan,1581206400000,4
willmcgugan,rich,willmcgugan,1581811200000,14
willmcgugan,rich,willmcgugan,1582416000000,4
willmcgugan,rich,willmcgugan,1583020800000,22
willmcgugan,rich,willmcgugan,1583625600000,32
willmcgugan,rich,willmcgugan,1584230400000,16
willmcgugan,rich,willmcgugan,1584835200000,24
willmcgugan,rich,willmcgugan,1585440000000,8
willmcgugan,rich,willmcgugan,1586044800000,2
willmcgugan,rich,willmcgugan,1586649600000,12
willmcgugan,rich,willmcgugan,1587254400000,8
willmcgugan,rich,willmcgugan,1587859200000,27
willmcgugan,rich,willmcgugan,1588464000000,12
willmcgugan,rich,willmcgugan,1589068800000,34
willmcgugan,rich,willmcgugan,1589673600000,22
willmcgugan,rich,willmcgugan,1590278400000,31
willmcgugan,rich,willmcgugan,1590883200000,29
willmcgugan,rich,willmcgugan,1591488000000,20
willmcgugan,rich,willmcgugan,1592092800000,27
willmcgugan,rich,willmcgugan,1592697600000,22
willmcgugan,rich,willmcgugan,1593302400000,26
willmcgugan,rich,willmcgugan,1593907200000,27
willmcgugan,rich,willmcgugan,1594512000000,30
willmcgugan,rich,willmcgugan,1595116800000,13
willmcgugan,rich,willmcgugan,1595721600000,25
willmcgugan,rich,willmcgugan,1596326400000,14
willmcgugan,rich,willmcgugan,1596931200000,22
willmcgugan,rich,willmcgugan,1597536000000,3
willmcgugan,rich,willmcgugan,1598140800000,8
willmcgugan,rich,willmcgugan,1599350400000,16
willmcgugan,rich,willmcgugan,1599955200000,24
willmcgugan,rich,willmcgugan,1600560000000,7
willmcgugan,rich,willmcgugan,1601164800000,14
willmcgugan,rich,willmcgugan,1601769600000,24
willmcgugan,rich,willmcgugan,1602374400000,32
willmcgugan,rich,willmcgugan,1602979200000,18
willmcgugan,rich,willmcgugan,1603584000000,5
willmcgugan,rich,willmcgugan,1604188800000,15
willmcgugan,rich,willmcgugan,1604793600000,3
willmcgugan,rich,willmcgugan,1605398400000,7
willmcgugan,rich,willmcgugan,1606003200000,13
willmcgugan,rich,willmcgugan,1606608000000,22
willmcgugan,rich,willmcgugan,1607212800000,14
willmcgugan,rich,willmcgugan,1607817600000,23
